pH,DO,Water Quality,Equivalent,,,,,,,,,,
4,0,15.28,Toxic (T),,,,,,,,,,
4,0.5,15.28,Toxic (T),,,,,,,,,,
4,1,15.28,Toxic (T),,,,,,,,,,
4,1.5,22,Toxic (T),,,,,,,,,,
4,2,28.18,Poor (P),,,,,,,,,,
4,2.5,40.67,Poor (P),,,,,,,,,,
4,3,39.87,Poor (P),,,,,,,,,,
4,3.5,53.93,Good (G),,,,,,,,,,
4,4,65.67,Good (G),,,,,,,,,,
4,4.5,65.67,Good (G),,,,,,,,,,
4,5,65.67,Good (G),,,,,,,,,,
4,5.5,65.67,Good (G),,,,,,,,,,
4,6,65.67,Good (G),,,,,,,,,,
4,6.5,65.67,Good (G),,,,,,,,,,
4,7,65.67,Good (G),,,,,,,,,,
4,7.5,65.67,Good (G),,,,,,,,,,
4,8,65.67,Good (G),,,,,,,,,,
4.5,0,15.28,Toxic (T),,,,,,,,,,
4.5,0.5,15.28,Toxic (T),,,,,,,,,,
4.5,1,15.28,Toxic (T),,,,,,,,,,
4.5,1.5,22,Toxic (T),,If water quality is observed going down,,,,,If water quality is observed going up,,,
4.5,2,28.18,Poor (P),,Water Quality Category,Range (0-100),Early Warning (10 points before going down),Final Alert (5 points before going down),,Water Quality Category,Range (0-100),Early Warning (10 points before going down),Final Alert (5 points before going down)
4.5,2.5,40.67,Poor (P),,Toxic,0 - 25,10,5,,Toxic,0 - 25,10,5
4.5,3,39.87,Poor (P),,Poor,26 - 50,36,30,,Poor,26 - 50,36,30
4.5,3.5,53.93,Good (G),,Good,51 - 75,61,56,,Good,51 - 75,61,56
4.5,4,65.67,Good (G),,Excellent,76 - 100,86,81,,Excellent,76 - 100,86,81
4.5,4.5,65.67,Good (G),,,,,,,,,,
4.5,5,65.67,Good (G),,,,,,,,,,
4.5,5.5,65.67,Good (G),,,,,,,,,,
4.5,6,65.67,Good (G),,,,,,,,,,
4.5,6.5,65.67,Good (G),,,,,,,,,,
4.5,7,65.67,Good (G),,,,,,,,,,
4.5,7.5,65.67,Good (G),,,,,,,,,,
4.5,8,65.67,Good (G),,,,,,,,,,
5,0,15.28,Toxic (T),,,,,,,,,,
5,0.5,15.28,Toxic (T),,,,,,,,,,
5,1,15.28,Toxic (T),,,,,,,,,,
5,1.5,22,Toxic (T),,,,,,,,,,
5,2,28.18,Poor (P),,,,,,,,,,
5,2.5,40.67,Poor (P),,,,,,,,,,
5,3,39.87,Poor (P),,,,,,,,,,
5,3.5,53.93,Good (G),,,,,,,,,,
5,4,65.67,Good (G),,,,,,,,,,
5,4.5,65.67,Good (G),,,,,,,,,,
5,5,65.67,Good (G),,,,,,,,,,
5,5.5,65.67,Good (G),,,,,,,,,,
5,6,65.67,Good (G),,,,,,,,,,
5,6.5,65.67,Good (G),,,,,,,,,,
5,7,65.67,Good (G),,,,,,,,,,
5,7.5,65.67,Good (G),,,,,,,,,,
5,8,65.67,Good (G),,,,,,,,,,
5.5,0,15.28,Toxic (T),,,,,,,,,,
5.5,0.5,15.28,Toxic (T),,,,,,,,,,
5.5,1,15.28,Toxic (T),,,,,,,,,,
5.5,1.5,22,Toxic (T),,,,,,,,,,
5.5,2,28.18,Poor (P),,,,,,,,,,
5.5,2.5,40.67,Poor (P),,,,,,,,,,
5.5,3,39.87,Poor (P),,,,,,,,,,
5.5,3.5,53.93,Good (G),,,,,,,,,,
5.5,4,65.67,Good (G),,,,,,,,,,
5.5,4.5,65.67,Good (G),,,,,,,,,,
5.5,5,65.67,Good (G),,,,,,,,,,
